epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1431.2,1.08779,1.13587,1.29366,0.78129,0.53509,0.58938,0.41711,1.52561,2.14822,1.67448,0.000848969,0.000848969,0.000848969
43,1463.07,1.08256,1.17467,1.32388,0.98091,0.49107,0.5882,0.42772,1.59323,2.16577,1.69095,0.000834822,0.000834822,0.000834822
44,1494.68,1.03719,1.10202,1.27752,0.5039,0.6193,0.59681,0.43506,1.63608,2.22181,1.69748,0.000820675,0.000820675,0.000820675
45,1526.87,1.06413,1.09111,1.30777,0.7603,0.51754,0.59666,0.36493,1.8568,2.38227,1.95547,0.000806528,0.000806528,0.000806528
46,1558.81,1.04826,1.08945,1.2874,0.60893,0.51754,0.5665,0.33149,1.83854,2.62092,1.99572,0.00079238,0.00079238,0.00079238
47,1591.51,1.05967,1.1199,1.27871,0.60432,0.51754,0.53312,0.35398,1.91368,2.71816,2.07702,0.000778233,0.000778233,0.000778233
48,1626.02,1.08117,1.16811,1.30704,0.67565,0.48421,0.52133,0.3563,1.94843,2.54166,2.05111,0.000764086,0.000764086,0.000764086
49,1660.03,1.01338,1.09121,1.26097,0.73923,0.48421,0.53856,0.36798,1.8156,2.29958,1.96092,0.000749939,0.000749939,0.000749939
50,1692.66,1.07041,1.10169,1.27378,0.91191,0.53333,0.58181,0.40144,1.85566,2.30468,2.03092,0.000735792,0.000735792,0.000735792
51,1729.11,1.07156,1.15645,1.30765,0.88381,0.53333,0.58197,0.41035,1.88652,2.28096,2.0508,0.000721645,0.000721645,0.000721645
52,1762.61,1.05983,1.07149,1.27917,0.96197,0.53333,0.58803,0.40049,1.83338,2.2885,2.00906,0.000707498,0.000707498,0.000707498
53,1801.11,1.04077,1.05727,1.28434,0.79097,0.55088,0.53594,0.39508,1.98006,2.51587,2.21341,0.000693351,0.000693351,0.000693351
54,1839.82,1.01215,1.03786,1.23046,0.61362,0.51754,0.52178,0.36681,1.91447,2.56894,2.15088,0.000679204,0.000679204,0.000679204
55,1877.58,0.96941,0.99634,1.21837,0.79132,0.48421,0.50505,0.36981,1.77845,2.51774,2.02614,0.000665057,0.000665057,0.000665057
56,1914.86,1.04568,1.07086,1.25787,0.67589,0.48421,0.5186,0.35621,1.85172,2.53829,2.06017,0.000650909,0.000650909,0.000650909
57,1951.98,0.94739,0.99102,1.19151,0.76412,0.48421,0.5449,0.36991,1.80286,2.34641,1.99663,0.000636762,0.000636762,0.000636762
58,1989.41,1.01046,1.03038,1.28471,0.87948,0.48421,0.56291,0.41323,1.70433,2.11649,1.86423,0.000622615,0.000622615,0.000622615
59,2026.81,0.95349,0.9774,1.22,0.59769,0.63684,0.64059,0.45284,1.5715,1.73661,1.77833,0.000608468,0.000608468,0.000608468
60,2063.84,0.9529,1.00216,1.19783,0.67944,0.62574,0.66436,0.48837,1.60697,1.6639,1.83264,0.000594321,0.000594321,0.000594321
61,2100.99,0.91543,0.91517,1.19694,0.65784,0.60175,0.65089,0.47991,1.55658,1.75914,1.75261,0.000580174,0.000580174,0.000580174
62,2138.75,0.90292,0.99173,1.18364,0.82224,0.55088,0.6212,0.46408,1.56496,1.86897,1.71343,0.000566027,0.000566027,0.000566027
